time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.4400000000000008,6.00034812995,6.49964889605,15.4643513756,5.37103714103,0.259877955299,0.0,4.89383955577,-3.8927452658,3.45600963314,-28.8268027875,28.8378595489,0.0,-0.263044479114,900.118737796,899.716723944,-0.159160231561
1.5000000000000009,6.27120633151,6.23828196516,15.6681100939,3.64144424258,1.99019909629,0.0,3.91545528758,-4.61782379364,3.12215405988,-28.8261670104,28.8399022585,0.0,-0.314026290229,900.180057967,899.693231204,-0.183474204088
1.560000000000001,6.47682095896,5.96302489716,15.8620779553,1.91178960024,3.72068063812,0.0,3.23150979785,-4.81329627944,3.47671990403,-28.8298046366,28.8434648958,0.0,-0.45925909144,900.324257282,899.899491338,-0.172116695484
1.620000000000001,6.70034652057,5.65165935139,16.0589727065,0.181913483044,5.45127195194,0.0,4.36866393245,-5.30379895635,3.04802128932,-28.833584549,28.8427677793,0.0,-0.47098686245,900.210154155,900.020528393,-0.123988598125
1.680000000000001,6.98129357078,5.32670568843,16.2543639397,4.73501719993,0.898647280408,0.0,4.65589836617,-5.79664708736,3.42106173147,-28.8364266625,28.8425402149,0.0,-0.229273827364,900.213137786,900.08887362,-0.0472981321246
1.740000000000001,7.22245908416,4.96513566905,16.4429579599,3.00480380893,2.62922249477,0.0,3.36653009118,-5.99099577645,2.99241788964,-28.8375993489,28.8434873803,0.0,-0.319953634582,900.268196156,900.089263577,0.197683774954
1.8000000000000012,7.416577412,4.59147209943,16.6371976456,1.27452932031,4.35987167361,0.0,3.42947443201,-6.65582945569,3.26308590662,-28.8383788634,28.8451377975,0.0,-0.294178398144,900.334942041,900.105065613,0.225176802567
1.8600000000000012,7.66129773399,4.18639800059,16.8199753548,5.82739368046,6.09059698094,0.0,4.65342626871,-6.73455586486,3.07642805853,-28.8391451524,28.8458468367,0.0,-0.17735044085,900.336634121,900.128695029,0.25025206865
1.9200000000000013,7.93449421515,3.75895066146,17.0126348493,4.09700437276,1.53814007784,0.0,4.1211842562,-7.54702129822,3.07559619149,-28.8408652302,28.8449030415,0.0,-0.233708272851,900.271360381,900.203060668,0.29286129809
1.9800000000000013,8.14395504189,3.30939486161,17.1893956771,2.36663377545,3.2687991625,0.0,3.04205620918,-7.48720213903,3.11925597953,-28.8375449927,28.8434186743,0.0,-0.18314272856,900.213297852,899.990124941,0.247898183938
2.0400000000000014,8.34198881235,2.8350299366,17.3760174095,0.636345370262,4.99941094879,0.0,3.81908661956,-8.20771416301,2.87855978381,-28.8390554185,28.8436969325,0.0,-0.193236981075,900.260198588,900.14203148,0.397331529669
2.1000000000000014,8.6035839529,2.34293895119,17.5520833145,5.18918986122,0.446795016933,0.0,4.62948077194,-8.3858313098,3.14930588302,-28.8389505506,28.8414666759,0.0,-0.226525760068,900.136206162,900.103729607,0.527542422785
2.1600000000000015,8.85248653418,1.8160944125,17.7314945681,3.45884984084,2.17729606291,0.0,3.50145335006,-8.91674989761,2.70662675275,-28.8390756291,28.842010189,0.0,-0.278793954129,900.213327112,900.112620068,0.419338631125
